Ngay,Thay doi,Mo cua,Cao nhat,Thap nhat,Dong cua,Trung binh,Dong cua DC,Khoi luong
16/07/2015,0.00 / 0.00%,83,83,83,83,83,37.41,170
17/07/2015,0.00 / 0.00%,83,83.5,83,83,83.19,37.41,1.19
20/07/2015,0.00 / 0.00%,83,83,83,83,83,37.41,0
21/07/2015,83.33333333,82,82,82,82,82,36.96,5.64
22/07/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
23/07/2015,0.00 / 0.00%,82.5,83.5,82,82,82.5,36.96,1.05
24/07/2015,0.00 / 0.00%,82,82,80,82,81.01,36.96,6.16
27/07/2015,0.00 / 0.00%,82,82,82,82,82,36.96,3.75
28/07/2015,81.96721311,80,80.5,80,80,80.13,36.05,14.69
29/07/2015,0.00 / 0.00%,80.5,80.5,80,80,80,36.05,7.5
30/07/2015,79.36507937,80,80.5,80,80.5,80,36.28,900
31/07/2015,0.00 / 0.00%,80.5,80.5,80.5,80.5,80.5,36.28,0
3/8/2015,80.64516129,80,80,80,80,80,36.05,2.44
4/8/2015,0.00 / 0.00%,80,80,80,80,80,36.05,100
5/8/2015,80,82,82,82,82,82,36.96,10
6/8/2015,0.00 / 0.00%,80,82,80,82,80.71,36.96,9.28
7/8/2015,81.96721311,81,81,81,81,81,36.51,1.5
10/8/2015,0.00 / 0.00%,80,81,80,81,80.07,36.51,2.76
11/8/2015,81.30081301,80.5,82,80.5,82,81.57,36.96,7.38
12/8/2015,0.00 / 0.00%,82.5,82.5,82,82,82.5,36.96,3.2
13/08/2015,81.96721311,80.5,80.5,80,80,80,36.05,1.65
14/08/2015,80,81,82,81,82,81.67,36.96,1.8
17/08/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
18/08/2015,81.96721311,80.5,80.5,80.5,80.5,80.5,36.28,40
19/08/2015,0.00 / 0.00%,80.5,80.5,80.5,80.5,80.5,36.28,0
20/08/2015,0.00 / 0.00%,81,81,80.5,80.5,80.75,36.28,100
21/08/2015,80.64516129,80,80,80,80,80,36.05,160
24/08/2015,80,80,80,77,77,79.42,34.7,2.43
25/08/2015,0.00 / 0.00%,77,77,77,77,77,34.7,0
26/08/2015,76.92307692,78,78,78,78,78,35.15,30
27/08/2015,0.00 / 0.00%,78,78,78,78,78,35.15,0
28/08/2015,0.00 / 0.00%,78,78,78,78,78,35.15,0
31/08/2015,77.97270955,82,82,82,82,82,36.96,100
1/9/2015,81.96721311,78,80.5,78,79,78.88,35.6,260
3/9/2015,79.36507937,79.5,79.5,78.5,78.5,79,35.38,410
4/9/2015,78.47533632,82,82,82,82,82,36.96,30.42
7/9/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
8/9/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
9/9/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
10/9/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
11/9/2015,0.00 / 0.00%,82,82,82,82,82,36.96,260
14/09/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
15/09/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
16/09/2015,81.96721311,79,79,79,79,79,35.6,350
17/09/2015,78.94736842,82,82,82,82,82,36.96,20
18/09/2015,81.96721311,78,78,78,78,78,35.15,500
21/09/2015,0.00 / 0.00%,80,80,78,78,78.24,35.15,1.93
22/09/2015,0.00 / 0.00%,78,78,78,78,78,35.15,0
23/09/2015,77.97270955,80,82,80,82,81.13,36.96,7.95
24/09/2015,0.00 / 0.00%,81,82,81,82,81.41,36.96,6.51
25/09/2015,81.96721311,83,84,83,84,83.33,37.86,1.5
28/09/2015,84.03361345,80,83,80,83,80,37.41,50
29/09/2015,82.98755187,81,81,81,81,81,36.51,300
30/09/2015,0.00 / 0.00%,81,81,81,81,81,36.51,700
1/10/2015,0.00 / 0.00%,81,81,81,81,81,36.51,0
2/10/2015,81.30081301,82,82,82,82,82,36.96,1.26
5/10/2015,81.96721311,81,81,81,81,81,36.51,7.62
6/10/2015,80.97165992,83,83,83,83,83,37.41,49.78
7/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,0
8/10/2015,83.33333333,83,84,82,84,83.47,37.86,2.48
9/10/2015,0.00 / 0.00%,84,84,83.5,84,83.88,37.86,9.15
12/10/2015,0.00 / 0.00%,84,84,84,84,84,37.86,1.7
13/10/2015,0.00 / 0.00%,84,84,84,84,84,37.86,0
14/10/2015,84.03361345,83,83,83,83,83,37.41,1.29
15/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,220
16/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,0
19/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,6.99
20/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,0
21/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,2.26
22/10/2015,0.00 / 0.00%,83,83,83,83,83,37.41,10
23/10/2015,83.33333333,78,83,78,82,78.38,36.96,2.96
26/10/2015,81.96721311,80,80,80,80,80,36.05,110
27/10/2015,0.00 / 0.00%,80,80,80,80,80,36.05,0
28/10/2015,0.00 / 0.00%,80,80,80,80,80,36.05,0
29/10/2015,0.00 / 0.00%,80,80,80,80,80,36.05,0
30/10/2015,80,83,83,83,83,83,37.41,2.07
2/11/2015,83.33333333,82.5,82.5,82.5,82.5,82.5,37.18,10
3/11/2015,82.6446281,81.5,81.5,81.5,81.5,81.5,36.73,200
4/11/2015,0.00 / 0.00%,81.5,81.5,81.5,81.5,81.5,36.73,0
5/11/2015,0.00 / 0.00%,81.5,82,81.5,81.5,81.63,36.73,120
6/11/2015,81.96721311,81.5,82,81.5,82,81.97,36.96,1.22
9/11/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
10/11/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
11/11/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
12/11/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
13/11/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
16/11/2015,81.96721311,80.5,80.5,80,80,80,36.05,39.669
17/11/2015,80,80.5,83,80.5,83,80.65,37.41,2.17
18/11/2015,82.87292818,83,83,81.5,81.5,82.11,36.73,950
19/11/2015,81.30081301,81.5,81.5,80.5,80.5,80.95,36.28,630
20/11/2015,80.64516129,81,81,81,81,81,36.51,430
23/11/2015,80.90614887,81.5,81.5,78.5,78.5,81.31,35.38,3.96
24/11/2015,0.00 / 0.00%,78.5,78.5,78.5,78.5,78.5,35.38,27.01
25/11/2015,78.6163522,81.5,81.5,81,81,81.5,36.51,2
26/11/2015,81.08108108,82,82.5,82,82.5,82.25,37.18,600
27/11/2015,81.96721311,82.5,83,82.5,83,82.75,37.41,600
30/11/2015,83.33333333,82.5,82.5,82.5,82.5,82.5,37.18,200
1/12/2015,81.96721311,83,83,83,83,83,37.41,20
2/12/2015,0.00 / 0.00%,83,83,83,83,83,37.41,500
3/12/2015,83.33333333,82.5,82.5,82,82,82,36.96,6.5
4/12/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
7/12/2015,0.00 / 0.00%,82,82,82,82,82,36.96,1.42
8/12/2015,81.96721311,82,82,81.5,81.5,81.77,36.73,3.73
9/12/2015,0.00 / 0.00%,81.5,82,81.5,81.5,81.63,36.73,890
10/12/2015,0.00 / 0.00%,81.5,81.5,81.5,81.5,81.5,36.73,20
11/12/2015,81.96721311,82,82,82,82,82,36.96,2.4
14/12/2015,0.00 / 0.00%,82,82,82,82,82,36.96,0
15/12/2015,81.96721311,83,83,83,83,83,37.41,25.8
16/12/2015,83.33333333,82,82,82,82,82,36.96,1.2
17/12/2015,0.00 / 0.00%,82,83,82,82,82.57,36.96,9.58
18/12/2015,0.00 / 0.00%,82,82,82,82,82,36.96,500
21/12/2015,81.96721311,83,83,83,83,83,37.41,270
22/12/2015,0.00 / 0.00%,83,83,83,83,83,37.41,150.06
23/12/2015,0.00 / 0.00%,83,83,83,83,83,37.41,3
24/12/2015,83.33333333,83,83.5,83,83.5,83.13,37.63,830
25/12/2015,0.00 / 0.00%,83.5,83.5,83.5,83.5,83.5,37.63,0
28/12/2015,0.00 / 0.00%,83.5,83.5,83.5,83.5,83.5,37.63,0
29/12/2015,0.00 / 0.00%,83.5,83.5,83.5,83.5,83.5,37.63,300
30/12/2015,83.33333333,83,83,83,83,83,37.41,40
31/12/2015,82.95625943,83,88.5,82,88.5,86.36,39.89,660
4/1/2016,88.75739645,84,90,84,90,89.94,40.56,94.83
5/1/2016,90.01636661,86,86,84.5,84.5,85.19,38.08,270
6/1/2016,0.00 / 0.00%,84.5,84.5,84.5,84.5,84.5,38.08,0
7/1/2016,84.26966292,83,84,83,83,83.75,37.41,800
8/1/2016,0.00 / 0.00%,83,83,83,83,83,37.41,0
